ID_venta,Nombre_cliente,Email,Ciudad,Producto,Categoría,Fecha_venta,Monto
1,Alberto Laureano Guevara,benjamintrejo@villanueva-pichardo.com,Nueva España,Smartphone,Electrónica,2025-02-10,917.77
2,Ing. Aldonza Valentín,cgaray@proyectos.com,San Cristal de la Montaña,Impresora,Oficina,2025-03-22,6348.83
3,Aurelio Olivares Calderón,salma40@hotmail.com,San Omar de la Montaña,Audífonos,Accesorios,2025-04-08,18490.84
4,Pedro Lozada Nájera,armentavirginia@proyectos.com,Vieja Guatemala,Cámara web,Accesorios,2025-05-07,2447.39
5,Dalia José Eduardo Mota Fuentes,de-la-torreoswaldo@hotmail.com,Nueva Montenegro,Monitor,Electrónica,2025-04-08,1085.03
6,Timoteo Porfirio Gaona Meléndez,alonsomata@jasso.org,San Eric los altos,Smartphone,Electrónica,2025-05-24,5700.36
7,Trinidad Reynoso,clara38@laboratorios.biz,San Estefanía de la Montaña,Cámara web,Accesorios,2025-05-28,15169.86
8,Aurora Arreola,soledadcrespo@ybarra.biz,San Óliver los bajos,Cámara web,Accesorios,2025-06-14,5211.29
9,Camila Terán Jaramillo,lozadamanuel@gmail.com,San Abelardo los altos,Cámara web,Accesorios,2025-02-22,10662.14
10,Dr. Natividad Caraballo,cristiannino@gmail.com,Vieja Nigeria,Router,Redes,2024-11-19,14854.86
11,Jos Maldonado Grijalva,raquelberrios@ruelas-barrientos.net,Nueva Sudán del Sur,Laptop,Electrónica,2025-05-15,19042.54
12,Dr. Gabino Suárez,paolafernandez@hotmail.com,San Leonor los altos,Audífonos,Accesorios,2025-04-06,17544.04
13,Noemí Razo,espartacobarela@alonso-villalobos.com,Nueva Bélgica,Silla ergonómica,Oficina,2024-12-04,7163.42
14,Ángel Alonso Menéndez,germanruelas@industrias.org,San Federico los bajos,Teclado,Accesorios,2025-04-19,23943.16
15,Barbara Beatriz Prado,dpartida@hotmail.com,Nueva Bangladesh,Silla ergonómica,Oficina,2025-04-17,2824.59
16,Bianca Felix Espinosa Espinal,luisaelizondo@yahoo.com,San Felix de la Montaña,Monitor,Electrónica,2025-05-03,2688.89
17,Sr(a). Amador Toledo,granadodaniela@ruelas.biz,Nueva Lesotho,Silla ergonómica,Oficina,2024-11-12,15212.03
18,Gabino Rentería,qvaladez@hotmail.com,San Cristal de la Montaña,Laptop,Electrónica,2025-03-07,18324.38
19,Ana Luisa Ricardo Torres,ana-luisa09@sandoval.com,Nueva Belarús,Cámara web,Accesorios,2025-07-01,3383.21
20,Zeferino Gollum Páez,ricardovillegas@bonilla.org,San Francisca de la Montaña,Monitor,Electrónica,2025-03-14,2246.36
21,Gabino Leonardo Ceja,wmata@gmail.com,Vieja Senegal,Impresora,Oficina,2025-06-18,20786.3
22,Antonia Terrazas Gallardo,jaquelinebarrientos@gmail.com,San Gloria de la Montaña,Disco duro externo,Almacenamiento,2025-05-01,22170.66
23,Mtro. Sara Tafoya,wilfrido12@despacho.com,San Salma de la Montaña,Silla ergonómica,Oficina,2025-03-25,14560.6
24,Tania Gabino Santiago,amelia16@yahoo.com,Nueva Islas Marshall,Smartphone,Electrónica,2025-01-01,1431.86
25,Cynthia Margarita Ureña Ponce,benitezconchita@negron.net,Vieja Camerún,Teclado,Accesorios,2024-11-28,19394.79
26,José Alfredo Muñiz Gaitán,morenorafael@correa.com,San Alberto de la Montaña,Smartphone,Electrónica,2025-03-21,21426.35
27,Yolanda Guzmán,biancaolivas@gmail.com,San Estela de la Montaña,Smartphone,Electrónica,2025-05-09,9689.12
28,Hilda Esperanza Garica Alva,rmendez@leiva-montoya.net,San Omar los bajos,Router,Redes,2024-11-22,16001.41
29,Francisca Domínguez Vera,cardonaruben@yahoo.com,San Humberto los bajos,Silla ergonómica,Oficina,2025-07-05,4317.56
30,Sr(a). Judith Velázquez,alvaro60@corporacin.com,San Wilfrido de la Montaña,Silla ergonómica,Oficina,2025-03-08,5474.82
31,Mtro. Yeni Paredes,jlucero@gmail.com,Vieja Suiza,Impresora,Oficina,2025-04-08,17634.96
32,Sergio Rebeca Madera,maestasgonzalo@gmail.com,San Ricardo los altos,Smartphone,Electrónica,2025-03-17,15345.54
33,Margarita Quintanilla,qde-la-o@limon-serrato.org,San Aurelio de la Montaña,Audífonos,Accesorios,2025-03-12,13493.25
34,Elvia Concepción Alvarado,martinbeltran@pedroza.biz,San Leonor de la Montaña,Teclado,Accesorios,2025-01-08,4336.04
35,Bernabé Pizarro Gaona,jarteaga@proyectos.com,San Yeni los altos,Monitor,Electrónica,2025-06-17,6967.71
36,Mtro. Margarita Santana,vcovarrubias@yahoo.com,San Francisco Javier de la Montaña,Cámara web,Accesorios,2025-02-27,5724.49
37,Lic. Socorro Griego,tbernal@yahoo.com,Vieja Islas Marshall,Silla ergonómica,Oficina,2025-03-16,21118.44
38,Sr(a). Citlali Corona,tcorral@despacho.com,San Linda de la Montaña,Laptop,Electrónica,2025-01-31,5957.49
